REPORTFORGE DEMO EXPORT;;;;
Generated by Example Company;;;;
Sale Date;Client Name;Service / Item;Total Sales;Job Cost
01/04/2026;  ACME LLC ;Window Cleaning;$350.00;$140.00
2026-01-10;Smith Dental;Pressure Washing;450;190
2/2/2026;Acme LLC;Gutter Cleaning;$375;$180
02/15/26;Northside Cafe;Window Cleaning;400.00;155
2026-03-01;Smith Dental;Gutter Cleaning;150;65
03/12/2026;Northside Cafe;Pressure Washing;$950;$410
2026-04-03;ACME LLC;Window Cleaning;525;230
2026-04-19;Northside Cafe;Gutter Cleaning;250;95
2026-04-19;Northside Cafe;Gutter Cleaning;250;95
bad-date;Broken Row;Unknown Service;not-money;20
2026-05-03;Large Enterprise;Annual Contract;$7,500.00;$2,400.00
